longitude,latitude,total_con,SampleTime
-93.483,29.217,1,2005-11-25 00:00:00
-93.483,29.211,7,2005-11-25 00:00:00
-93.481,29.215,0.1,2005-11-25 00:00:00
-93.4799,29.213,10,2005-11-25 00:00:00
-93.479,29.2145,5,2005-11-25 00:00:00
-93.479,29.2155,0.1,2005-11-25 00:00:00
-93.475,29.215,0.1,2005-11-25 00:00:00
-93.473,29.213,5,2005-11-25 00:00:00
-93.464,29.211,0.1,2005-11-25 00:00:00
-93.458,29.207,0.1,2005-11-25 00:00:00
-93.459,29.202,0.1,2005-11-25 00:00:00
-93.4635,29.198,10,2005-11-25 00:00:00
-93.4685,29.198,0.1,2005-11-25 00:00:00
-93.4683,29.1955,3,2005-11-25 00:00:00
-93.471,29.1955,5,2005-11-25 00:00:00
-93.471,29.198,65,2005-11-25 00:00:00
-93.474,29.196,45,2005-11-25 00:00:00
-93.4765,29.196,20,2005-11-25 00:00:00
-93.4765,29.195,0.1,2005-11-25 00:00:00
-93.4775,29.193,0.1,2005-11-25 00:00:00
-93.477,29.199,50,2005-11-25 00:00:00
-93.48,29.1945,20,2005-11-25 00:00:00
-93.483,29.1955,35,2005-11-25 00:00:00
-93.4835,29.1985,40,2005-11-25 00:00:00
-93.481,29.2055,80,2005-11-25 00:00:00
-93.4745,29.208,50,2005-11-25 00:00:00
-93.4725,29.206,100,2005-11-25 00:00:00
-93.4745,29.2035,67,2005-11-25 00:00:00
-93.473,29.2035,0.1,2005-11-25 00:00:00
