Lon,Lat,Con,SampleTime,depth
-88.40762,28.73811,11.17,2010-05-24 00:00:00,1233
-88.40762,28.73811,163.61,2010-05-24 00:00:00,1198
-88.40762,28.73811,158.27,2010-05-24 00:00:00,1198
-88.40762,28.73811,455.69,2010-05-24 00:00:00,1146
-88.40098,28.72829,428.21,2010-05-24 00:00:00,1226
-88.40098,28.72829,129.199,2010-05-24 00:00:00,1148
-88.40098,28.72829,418.44,2010-05-24 00:00:00,1099
-88.40098,28.72829,65.012,2010-05-24 00:00:00,1049
-88.4292,28.73505,52.589,2010-05-24 00:00:00,1282
-88.4292,28.73505,39.51,2010-05-24 00:00:00,1242
-88.4292,28.73505,166.21,2010-05-24 00:00:00,1191
-88.4292,28.73505,245.38,2010-05-24 00:00:00,1141
-88.4292,28.73505,19.39,2010-05-24 00:00:00,1099
-88.42008,28.72141,320.24,2010-05-25 00:00:00,1209
-88.42008,28.72141,384.3,2010-05-25 00:00:00,1131
-88.42008,28.72141,130.32,2010-05-25 00:00:00,1049
-88.42008,28.72141,1.14,2010-05-25 00:00:00,966
-88.4295,28.71782,217.1,2010-05-25 00:00:00,1196
-88.4295,28.71782,49.73,2010-05-25 00:00:00,1139
-88.4295,28.71782,397.9,2010-05-25 00:00:00,1099
-88.4295,28.71782,88.74,2010-05-25 00:00:00,1062
-88.4295,28.71782,4.57,2010-05-25 00:00:00,967
-88.43988,28.73765,66.82,2010-05-25 00:00:00,1218
-88.43988,28.73765,176.91,2010-05-25 00:00:00,1182
-88.43988,28.73765,49.02,2010-05-25 00:00:00,1163
-88.43988,28.73765,36.17,2010-05-25 00:00:00,921
-88.37678,28.732,12.26,2010-05-25 00:00:00,1252
